Seed, Maze Type, Resolution, Solving Time, Solving Path Percentage, Solving Path Length, Tried Nodes, 1 Branches, 2 Branches, 3 Branches, 4 Branches,2 Length Corridor,3 Length Corridor,4 Length Corridor,5 Length Corridor,6 Length Corridor,7 Length Corridor,8 Length Corridor,9 Length Corridor,10 Length Corridor,11 Length Corridor,12 Length Corridor,13 Length Corridor,14 Length Corridor,15 Length Corridor,16 Length Corridor,17 Length Corridor,18 Length Corridor,19 Length Corridor,20 Length Corridor,21 Length Corridor,22 Length Corridor,23 Length Corridor,24 Length Corridor,25 Length Corridor,26 Length Corridor,27 Length Corridor,28 Length Corridor,29 Length Corridor,30 Length Corridor,31 Length Corridor,32 Length Corridor,33 Length Corridor,34 Length Corridor,35 Length Corridor,36 Length Corridor,37 Length Corridor,38 Length Corridor,39 Length Corridor,40 Length Corridor,41 Length Corridor,42 Length Corridor,43 Length Corridor,44 Length Corridor,45 Length Corridor,46 Length Corridor,47 Length Corridor,48 Length Corridor,49 Length Corridor,50 Length Corridor,51 Length Corridor,52 Length Corridor,53 Length Corridor,54 Length Corridor,55 Length Corridor,56 Length Corridor,57 Length Corridor,58 Length Corridor,59 Length Corridor,60 Length Corridor,61 Length Corridor,62 Length Corridor,63 Length Corridor,64 Length Corridor
795002838,RecursiveDivision,32x32,1.876831,21.97393%,118,537,1.171875%,25.29297%,52.24609%,21.28906%,57.5456%,25.2073%,11.27695%,3.814262%,0.9950249%,0.4975124%,0.6633499%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
408770937,RecursiveDivision,32x32,2.987146,19.38326%,132,681,0.5859375%,27.83203%,48.92578%,22.65625%,55.06993%,28.14685%,8.391608%,4.545455%,2.447552%,0.3496504%,0.3496504%,0.3496504%,0.1748252%,0%,0%,0%,0%,0%,0%,0%,0.1748252%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
957303064,RecursiveDivision,32x32,3.304005,10.91291%,104,953,0.4882813%,26.95313%,50.97656%,21.58203%,56.99659%,23.72014%,11.43345%,4.948805%,1.535836%,1.194539%,0.1706485%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
554143017,RecursiveDivision,32x32,1.031876,28.7324%,102,355,1.269531%,24.51172%,53.51563%,20.70313%,59.60265%,24.33775%,8.278146%,4.635762%,1.655629%,1.15894%,0.1655629%,0.1655629%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
13506039,RecursiveDivision,32x32,2.811909,21.5781%,134,621,1.269531%,23.73047%,55.07813%,19.92188%,55.14834%,25.65445%,11.16928%,4.537522%,2.268761%,0.5235602%,0.1745201%,0.1745201%,0.1745201%,0.1745201%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
762278532,RecursiveDivision,32x32,1.80769,31.8618%,166,521,0.78125%,25.78125%,52.44141%,20.99609%,58.10811%,23.98649%,9.290541%,5.405406%,2.364865%,0.5067568%,0.3378378%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
989163839,RecursiveDivision,32x32,2.711296,14.2539%,128,898,0.8789063%,25.09766%,53.51563%,20.50781%,60.22364%,25.23962%,8.945687%,3.354633%,1.757188%,0.1597444%,0%,0.1597444%,0.1597444%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
362013730,RecursiveDivision,32x32,3.240108,16.32124%,126,772,0.78125%,23.33984%,57.32422%,18.55469%,52.82051%,28.71795%,12.64957%,3.931624%,1.367521%,0%,0.1709402%,0.1709402%,0.1709402%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
257295130,RecursiveDivision,32x32,2.594948,34.47099%,202,586,0.9765625%,23.53516%,56.34766%,19.14063%,58.33333%,25%,10.33333%,3.166667%,1.333333%,1.333333%,0.3333333%,0%,0.1666667%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
706716450,RecursiveDivision,32x32,1.300335,40.113%,142,354,0.5859375%,25.87891%,52.83203%,20.70313%,62.95082%,19.83607%,10%,4.426229%,1.147541%,0.8196721%,0.4918033%,0%,0.1639344%,0%,0.1639344%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
384685404,RecursiveDivision,32x32,1.905918,45.68764%,196,429,1.074219%,25.87891%,51.36719%,21.67969%,54.86577%,30.03356%,8.724833%,3.52349%,1.510067%,0.8389262%,0.1677852%,0.3355705%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
65215408,RecursiveDivision,32x32,3.579378,20.10444%,154,766,0.4882813%,26.17188%,52.53906%,20.80078%,59.22166%,24.36548%,8.967851%,3.891709%,1.522843%,1.015228%,0.1692047%,0.3384095%,0.1692047%,0.1692047%,0.1692047%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
500001087,RecursiveDivision,32x32,3.222466,13.76896%,118,857,0.9765625%,26.17188%,51.07422%,21.77734%,55.27638%,29.64824%,7.872697%,4.187605%,2.01005%,0.6700168%,0.3350084%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
168872310,RecursiveDivision,32x32,3.507376,22.59136%,136,602,0.8789063%,24.80469%,54.10156%,20.21484%,57.28814%,24.91525%,11.35593%,3.559322%,1.694915%,0.6779661%,0.1694915%,0.1694915%,0%,0%,0%,0%,0%,0%,0%,0%,0.1694915%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
12556172,RecursiveDivision,32x32,2.695799,14.36782%,100,696,1.074219%,24.21875%,54.6875%,20.01953%,54.31472%,27.41117%,11.33672%,5.245347%,1.353638%,0.1692047%,0.1692047%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
872142760,RecursiveDivision,32x32,3.178596,15.4023%,134,870,0.390625%,25.68359%,53.80859%,20.11719%,57.21562%,24.27844%,11.71477%,4.074703%,1.528014%,0.6791171%,0.1697793%,0.1697793%,0%,0%,0%,0%,0.1697793%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
524840060,RecursiveDivision,32x32,2.896309,15.2652%,118,773,1.074219%,26.26953%,50.58594%,22.07031%,61.43791%,21.56863%,10.13072%,4.575163%,0.9803922%,0.4901961%,0.4901961%,0.3267974%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
852047877,RecursiveDivision,32x32,2.229452,45.99303%,132,287,0.8789063%,26.36719%,50.97656%,21.77734%,55.57462%,24.69983%,12.17839%,5.145798%,1.372213%,0.6861063%,0.3430532%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
863438494,RecursiveDivision,32x32,1.834393,27.71084%,138,498,0.8789063%,25.58594%,52.53906%,20.99609%,55.36332%,26.98962%,10.89965%,3.287197%,1.903114%,0.3460208%,0.1730104%,0.8650519%,0%,0%,0%,0.1730104%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
217550202,RecursiveDivision,32x32,1.168966,24.78873%,88,355,0.9765625%,26.26953%,50.87891%,21.875%,56.92567%,24.32432%,11.48649%,5.067567%,1.351351%,0.5067568%,0%,0.3378378%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
